ID,NAME,LName,DATE,PET
1,Daron,Burnley,10/19/2004,Great egret
2,Jackeline,Vangness,11/25/1984,Tree Frog
3,Kurt,Robertson,7/14/1963,Egyptian goose
4,Skylar,Preston,2/13/1985,Hoary marmot
5,Joseph,Goodman,10/22/1966,Cape cobra
6,Courtney,Thorne,10/21/1989,Albatross
7,Tony,Rodgers,6/20/1961,Fisher
8,Josh,Nicolas,8/3/1980,Common duiker
9,Fred,Hopkinson,9/22/2018,Hamster
10,Tyson,Mackenzie,5/6/1959,Chipmunk
11,Kimberly,Chapman,7/2/1986,Zebra
12,Anthony,Ross,1/3/2007,Cape raven
13,William,Victor,9/12/2005,King vulture
14,Sofia,Ballard,2/22/1959,Common shelduck
15,Lucas,Alldridge,9/22/1961,Donkey
16,Logan,Graham,6/15/1994,Black-tailed prairie dog
17,Elly,Blackburn,7/23/1958,Badger
18,Ivy,Grey,9/1/1994,European wild cat
19,Mason,Eagle,9/10/1967,Eurasian hoopoe
20,Nicholas,Cox,12/25/1950,JellyFish
21,Phillip,Dixon,2/14/1977,Galapagos hawk
22,Johnny,Forester,6/2/2002,Cheetah
23,Enoch,Grady,10/6/1957,Caribou
24,Holly,Woodley,5/23/1956,Vulture
25,Kieth,Cameron,6/3/2011,Gray heron
26,Henry,Camden,7/8/1993,California sea lion
27,Javier,Allington,10/7/1953,Four-horned antelope
28,Leroy,Nanton,8/15/1965,Komodo Dragon
29,Sharon,Ainsworth,1/10/1986,Blue fox
30,Bob,Morris,2/3/1980,Hippopotamus
31,Tania,Reynolds,3/23/1968,European stork
32,Hayden,Roberts,7/16/2009,Galapagos penguin
33,Phillip,Vinton,7/3/2013,Somali
34,Tyson,Briggs,3/2/1972,American buffalo
35,Shay,Whittle,1/8/1978,Somali
36,Liam,Ward,8/10/1969,Indian leopard
37,Liam,Hewitt,8/18/2007,Blue duck
38,Jules,Radcliffe,9/24/1989,Brown capuchin
39,Matthew,Adams,6/26/2006,JellyFish
40,Holly,Hill,7/29/2008,Common shelduck
41,Josh,Clarkson,8/23/1999,Hippopotamus
42,Emerald,Doherty,3/19/1957,Eastern boa constrictor
43,Nicholas,Irving,5/11/1969,Cobra
44,Chester,Hobbs,12/10/1986,Carpet python
45,Lucas,Graham,7/10/2013,Wallaby
46,Amelia,London,1/10/1992,Yak
47,Daron,Rehman,7/14/1962,Carpet python
48,Denis,Parker,4/30/2003,Black-tailed prairie dog
49,Chuck,Bell,10/10/1963,Vampire Bat
50,Johnny,Clayton,11/17/1980,Shirmp
51,Dakota,Bolton,1/8/2002,Cereopsis goose
52,Cedrick,Ward,4/10/1958,Mouse
53,Skylar,Vollans,4/10/1979,Canada goose
54,Morgan,West,4/15/1996,Yak
55,Megan,Dixon,9/23/1964,Fox
56,Keira,Squire,11/9/1950,Common duiker
57,Summer,Rothwell,12/11/1950,Cormorant
58,Kurt,Mason,1/26/2019,Fork-tailed drongo
59,Alan,Connell,11/19/1966,Black-capped chickadee
60,Janelle,Wheeler,6/3/1975,Great kiskadee
61,Manuel,Spencer,4/1/2011,Fork-tailed drongo
62,Barry,Page ,4/17/2002,Badger
63,Victoria,Gilbert,6/18/1989,Bush dog
64,Sienna,Neal,1/31/1979,Cape raven
65,Audrey,Walter,9/2/1982,Antelope
66,Martin,Hopkinson,4/25/2005,King vulture
67,Benny,Baldwin,4/26/1977,Dassie
68,Harvey,Payne,7/7/2016,Four-horned antelope
69,Penelope,Lane,8/2/1990,Deer
70,Juliette,Rossi,6/28/2014,Red Panda
71,Owen,Emmett,5/1/2010,Kiwi
72,Phillip,Swan,1/2/2004,Eastern boa constrictor
73,Shelby,Thomas,1/27/2004,Koala
74,Maxwell,Jacobs,11/3/1959,Komodo Dragon
75,Mina,Olson,11/25/2007,Gambels quail
76,Matthew,Funnell,8/19/1956,Blue wildebeest
77,Camila,Shields,8/28/1953,Canada goose
78,Benny,Ingham,8/19/1961,Hamster
79,Angelique,Archer,12/23/1963,Common duiker
80,Blake,Bullock,12/10/2007,European wild cat
81,Joseph,Santos,6/1/1954,Giant armadillo
82,Henry,Hill,11/4/1974,Monkey
83,Florence,Lewin,5/11/2001,Cape wild cat
84,Kieth,Hancock,7/17/2008,Ferret
85,Eden,Morris,5/31/2000,Gray duiker
86,Mark,Judd,9/11/1982,Chital
87,Margot,Zaoui,6/4/2009,Blue shark
88,Tony,Davies,10/9/2015,Fairy penguin
89,Carl,Ashwell,8/4/1983,Black rhinoceros
90,Phoebe,Mccormick,4/21/1964,Bushbuck
91,Ada,Rossi,5/17/2011,Zebu
92,Chris,Sylvester,10/19/1975,Blue wildebeest
93,John,Powell,5/18/2012,Dama wallaby
94,Phoebe,Rowe,9/23/1955,Egyptian goose
95,Jayden,Fisher,7/6/1967,African lion
96,Janice,Janes,7/11/2002,Hanuman langur
97,Mackenzie,Nash,11/26/1959,Golden eagle
98,Matt,Woodley,11/9/2009,Gila monster
99,Josh,Mitchell,8/31/1970,Owl
100,Jacob,Robinson,1/17/1960,Feathertail glider
101,Jayden,Morley,9/14/1958,Cape Barren goose
102,Chad,Tait,8/10/1975,Dama wallaby
103,Juliette,Mills,4/7/1956,Sea Lion
104,Cadence,Shields,2/21/1963,Lemur
105,Camden,Brooks,3/21/1972,Deer
106,Martha,Hastings,1/31/1976,Panda
107,Thea,Khan,7/26/1975,Toucan
108,William,Alexander,6/25/2019,Hedgedog
109,Jade,Morrison,10/26/1962,European red squirrel
110,Abdul,Hammond,6/8/2003,FireFly
111,Rebecca,Walsh,3/13/1972,Bush dog
112,Hank,Ellis,9/12/1975,Gorilla
113,Owen,Oldfield,2/25/1989,Killer whale
114,Jazmin,Flack,5/17/1965,Monkey
115,Cedrick,Casey,6/21/2019,Fat-tailed dunnart
116,David,Callan,8/29/2009,Javan gold-spotted mongoose
117,Elly,Allcott,2/7/1986,Frilled dragon
